variant,price,Engine Type,Displacement,Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Turbo Charger,Transmission Type,Gearbox,Drive Type,Fuel Type,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Turning Radius,Front Brake Type,Rear Brake Type,Length,Width,Height,Boot Space,Seating Capacity,Ground Clearance Unladen,Wheel Base,Kerb Weight,Gross Weight,No. of Doors,Power Steering,Air Conditioner,Heater,Adjustable Steering,Height Adjustable Driver Seat,Automatic Climate Control,Accessory Power Outlet,Trunk Light,Vanity Mirror,Rear Reading Lamp,Adjustable Headrest,Rear AC Vents,Cruise Control,Parking Sensors,Real-Time Vehicle Tracking,Foldable Rear Seat,KeyLess Entry,Engine Start/Stop Button,Voice Commands,USB Charger,Gear Shift Indicator,Luggage Hook & Net,Automatic Headlamps,Follow Me Home Headlamps,Additional Features,Power Windows,Cup Holders,Tachometer,Leather Wrapped Steering Wheel,Glove Box,Digital Cluster,Upholstery,Adjustable Headlamps,Rear Window Wiper,Rear Window Washer,Rear Window Defogger,Wheel Covers,Alloy Wheels,Rear Spoiler,Outside Rear View Mirror Turn Indicators,Projector Headlamps,Halogen Headlamps,Fog Lights,Antenna,Sun Roof,Boot Opening,Outside Rear View Mirror (ORVM),Tyre Size,Tyre Type,Wheel Size,LED DRLs,LED Headlamps,LED Taillights,LED Fog Lamps,Anti-lock Braking System (ABS),Central Locking,Anti-Theft Alarm,No. of Airbags,Driver Airbag,Passenger Airbag,Side Airbag,Side Airbag-Rear,Day & Night Rear View Mirror,Curtain Airbag,Electronic Brakeforce Distribution (EBD),Seat Belt Warning,Door Ajar Warning,Engine Immobilizer,Electronic Stability Control (ESC),Rear Camera,Anti-Theft Device,Anti-Pinch Power Windows,Speed Alert,Speed Sensing Auto Door Lock,ISOFIX Child Seat Mounts,Pretensioners & Force Limiter Seatbelts,Hill Assist,Radio,Wireless Phone Charging,Bluetooth Connectivity,Touchscreen,Touchscreen Size,Android Auto,Apple CarPlay,Usb Ports,Speakers,Driver Attention Warning,Live Location,Over the Air (OTA) Updates,Google / Alexa Connectivity,Over Speeding Alert,Tow Away Alert,Smartwatch App,Valet Mode,Remote Door Lock/Unlock,Geo-fence Alert,No. of Speakers,Global NCAP Safety Rating,Idle Start-Stop System,Digital Cluster Size,Integrated Antenna,Alloy Wheel Size Front,Alloy Wheel Size Rear,Rear Seat Headrest,Tweeters,Blind Spot Camera,CNG Mileage ARAI,CNG Fuel Tank Capacity,Secondary Fuel Type,Petrol Mileage (ARAI),Petrol Fuel Tank Capacity (Litres),Reported Boot Space
Maruti Swift LXi,"Rs.6,49,000",Z12E,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,4,no,Manual,5-Speed,FWD,Petrol,24.8 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,265 Litres,5,163 mm,2450 mm,920 kg,1355 kg,5,yes,yes,yes,Height only,no,no,yes,no,no,yes,yes,no,no,Rear,no,Bench Folding,yes,no,no,no,yes,yes,no,no,"LED Rear Combination Lamps,Body Coloured Bumpers",Front & Rear,Front Only,yes,no,yes,yes,Fabric,yes,no,no,yes,no,no,yes,no,no,yes,no,Micropole,no,Electronic,Manual,165/80 R14,Radial Tubeless,14 Inch,no,no,yes,no,yes,yes,no,6,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,Driver's Window,yes,yes,yes,Driver and Passenger,yes,no,no,no,no,inch,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,
Maruti Swift VXi,"Rs.7,29,500",Z12E,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,4,no,Manual,5-Speed,FWD,Petrol,24.8 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,265 Litres,5,163 mm,2450 mm,920 kg,1355 kg,5,yes,yes,yes,Height only,no,no,yes,no,yes,yes,yes,no,no,Rear,no,Bench Folding,yes,no,yes,Front,yes,yes,no,no,"Wireless Android Auto & Apple CarPlay,Onboard Voice Assistant (Wake-up through """"Hi Suzuki"""" with Barge-in Feature)",Front & Rear,Front Only,yes,no,yes,yes,Fabric,yes,no,no,yes,yes,no,,yes,no,yes,no,Micropole,no,Electronic,Powered,165/80 R14,Radial Tubeless,14 Inch,no,no,yes,no,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,Driver's Window,yes,yes,yes,Driver and Passenger,yes,yes,no,yes,yes,7 inch,yes,yes,yes,Front & Rear,no,no,yes,no,no,no,no,no,no,no,4,,,,,,,,,,,,,,,
Maruti Swift VXi Opt,"Rs.7,56,500",Z12E,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,4,no,Manual,5-Speed,FWD,Petrol,24.8 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,265 Litres,5,163 mm,2450 mm,920 kg,1355 kg,5,yes,yes,yes,Height only,no,no,yes,no,yes,yes,yes,no,no,Rear,yes,Bench Folding,yes,yes,yes,Front,yes,yes,no,no,"Wireless Android Auto & Apple CarPlay,Onboard Voice Assistant (Wake-up through """"Hi Suzuki"""" with Barge-in Feature)",Front & Rear,Front Only,yes,no,yes,yes,Fabric,yes,no,no,yes,yes,no,,yes,no,yes,no,Micropole,no,Electronic,Powered,165/80 R14,Radial Tubeless,14 Inch,no,no,yes,no,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,Driver's Window,yes,yes,yes,Driver and Passenger,yes,yes,no,yes,yes,7 inch,yes,yes,yes,Front & Rear,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,4,4 Star,,,,,,,,,,,,,,
Maruti Swift VXi AMT,"Rs.7,79,501",Z12E,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,4,no,Automatic,5-Speed,FWD,Petrol,25.75 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,265 Litres,5,163 mm,2450 mm,925 kg,1355 kg,5,yes,yes,yes,Height only,no,no,yes,no,yes,yes,yes,no,no,Rear,no,Bench Folding,yes,no,yes,Front,no,yes,no,no,"Wireless Android Auto & Apple CarPlay,Onboard Voice Assistant (Wake-up through """"Hi Suzuki"""" with Barge-in Feature)",Front & Rear,Front Only,yes,no,yes,yes,Fabric,yes,no,no,yes,yes,no,,yes,no,yes,no,Micropole,no,Electronic,Powered,165/80 R14,Radial Tubeless,14 Inch,no,no,yes,no,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,Driver's Window,yes,yes,yes,Driver and Passenger,yes,yes,no,yes,yes,7 inch,yes,yes,yes,Front & Rear,no,no,yes,no,no,no,no,no,no,no,4,,,,,,,,,,,,,,,
Maruti Swift VXi Opt AMT,"Rs.8,06,500",Z12E,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,4,no,Automatic,5-Speed AMT,FWD,Petrol,25.75 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,265 Litres,5,163 mm,2450 mm,925 kg,1355 kg,5,yes,yes,yes,Height only,no,no,yes,no,yes,yes,yes,no,no,Rear,yes,Bench Folding,yes,yes,yes,Front,no,yes,no,no,"""Wireless Android Auto & Apple CarPlay,Onboard Voice Assistant (Wake-up through """"Hi Suzuki"""" with Barge-in Feature)",Front & Rear,Front Only,yes,no,yes,yes,Fabric,yes,no,no,yes,yes,no,,yes,,yes,no,Micropole,no,Electronic,Powered,165/80 R14,Radial Tubeless,14 Inch,no,no,yes,no,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,Driver's Window,yes,yes,yes,Driver and Passenger,yes,yes,no,yes,yes,7 inch,yes,yes,yes,Front & Rear,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,4,,no,no,yes,,,,,,,,,,,
Maruti Swift ZXi,"Rs.8,29,500",Z12E,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,4,no,Manual,5-Speed,FWD,Petrol,24.8 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,265 Litres,5,163 mm,2450 mm,920 kg,1355 kg,5,yes,yes,yes,Height only,yes,yes,yes,yes,yes,yes,yes,yes,no,Rear,yes,60:40 Split,yes,yes,yes,Front & Rear,yes,yes,yes,yes,"""Wireless Android Auto & Apple CarPlay,Onboard Voice Assistant (Wake-up through """"Hi Suzuki"""" with Barge-in Feature)",Front & Rear,Front Only,yes,no,yes,yes,Fabric,yes,yes,yes,yes,no,yes,,yes,yes,no,no,Micropole,no,Electronic,Powered,185/65 R15,Radial Tubeless,,yes,yes,yes,no,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,Driver's Window,yes,yes,yes,Driver and Passenger,yes,yes,yes,yes,yes,7 inch,yes,yes,yes,Front & Rear,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,4,,,no,,15 Inch,15 Inch,Adjustable,2,,,,,,,
Maruti Swift ZXi AMT,"Rs.8,79,500",Z12E,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,4,no,Automatic,5-Speed AMT,FWD,Petrol,25.75 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,265 Litres,5,163 mm,2450 mm,925 kg,1355 kg,5,yes,yes,yes,Height only,yes,yes,yes,yes,yes,yes,yes,yes,no,Rear,yes,60:40 Split,yes,yes,yes,Front & Rear,no,yes,yes,yes,"""Wireless Android Auto & Apple CarPlay,Onboard Voice Assistant (Wake-up through """"Hi Suzuki"""" with Barge-in Feature) """,Front & Rear,Front Only,yes,no,yes,yes,Fabric,yes,yes,yes,yes,no,yes,,yes,yes,no,no,Micropole,no,Electronic,Powered,185/65 R15,Radial Tubeless,,yes,yes,yes,no,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,Driver's Window,yes,yes,yes,Driver and Passenger,yes,yes,yes,yes,yes,7 inch,yes,yes,yes,Front & Rear,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,4,,no,no,,15 Inch,15 Inch,Adjustable,2,,,,,,,
Maruti Swift ZXi Plus,"Rs.8,99,500",Z12E,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,4,no,Manual,5-Speed,FWD,Petrol,24.8 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,265 Litres,5,163 mm,2450 mm,920 kg,1355 kg,5,yes,yes,yes,Height only,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rear,yes,60:40 Split,yes,yes,yes,Front & Rear,yes,yes,yes,yes,"""Surround Sense Powered by ARKAMYS ,Wireless Android Auto & Apple CarPlay,Onboard Voice Assistant (Wake-up through """"Hi Suzuki"""" with Barge-in Feature)",Front & Rear,Front Only,yes,yes,yes,yes,Fabric,yes,yes,yes,yes,no,yes,,yes,yes,no,Front,Micropole,no,Electronic,Powered & Folding,185/65 R15,Radial Tubeless,,yes,yes,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,Driver's Window,yes,yes,yes,Driver and Passenger,yes,yes,yes,yes,yes,9 inch,yes,yes,yes,Front & Rear,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,4,,,no,,15 Inch,15 Inch,Adjustable,2,no,,,,,,
Maruti Swift ZXi Plus DT,"Rs.9,14,500",Z12E,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,4,no,Manual,5-Speed,FWD,Petrol,24.8 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,265 Litres,5,163 mm,2450 mm,920 kg,1355 kg,5,yes,yes,yes,Height only,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rear,yes,60:40 Split,yes,yes,,Front & Rear,yes,yes,yes,yes,"""Surround Sense Powered by ARKAMYS ,Wireless Android Auto & Apple CarPlay,Onboard Voice Assistant (Wake-up through """"Hi Suzuki"""" with Barge-in Feature)",Front & Rear,Front Only,yes,yes,yes,yes,Fabric,yes,yes,yes,yes,no,yes,,yes,yes,no,Front,Micropole,no,Electronic,Powered & Folding,185/65 R15,Radial Tubeless,,yes,yes,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,Driver's Window,yes,yes,yes,Driver and Passenger,yes,yes,yes,yes,yes,9 inch,yes,yes,yes,Front & Rear,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,4,,,no,,15 Inch,15 Inch,Adjustable,2,,,,,,,
Maruti Swift ZXi Plus AMT,"Rs.9,49,501",Z12E,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,4,no,Automatic,5-Speed AMT,FWD,Petrol,25.75 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,265 Litres,5,163 mm,2450 mm,925 kg,1355 kg,5,yes,yes,yes,Height only,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rear,yes,60:40 Split,yes,yes,yes,Front & Rear,no,yes,yes,yes,"""Surround Sense Powered by ARKAMYS ,Wireless Android Auto & Apple CarPlay,Onboard Voice Assistant (Wake-up through """"Hi Suzuki"""" with Barge-in Feature)",Front & Rear,Front Only,yes,yes,yes,yes,Fabric,yes,yes,yes,yes,no,yes,,yes,yes,no,Front,Micropole,no,Electronic,Powered & Folding,185/65 R15,Radial Tubeless,,yes,yes,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,Driver's Window,yes,yes,yes,Driver and Passenger,yes,yes,yes,yes,yes,9 inch,yes,yes,yes,Front & Rear,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,4,,,no,,15 Inch,15 Inch,Adjustable,2,,,,,,,
Maruti Swift ZXi Plus AMT DT,"Rs.9,64,499",Z12E,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,4,no,Automatic,5-Speed AMT,FWD,Petrol,25.75 kmpl,37 Litres,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,265 Litres,5,163 mm,2450 mm,925 kg,1355 kg,5,yes,yes,yes,Height only,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rear,yes,60:40 Split,yes,yes,yes,Front & Rear,no,yes,yes,yes,"""Surround Sense Powered by ARKAMYS ,Wireless Android Auto & Apple CarPlay,Onboard Voice Assistant (Wake-up through """"Hi Suzuki"""" with Barge-in Feature)",Front & Rear,Front Only,yes,yes,yes,yes,Fabric,yes,yes,yes,yes,no,yes,,yes,yes,no,Front,Micropole,no,Electronic,Powered & Folding,185/65 R15,Radial Tubeless,,yes,yes,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,Driver's Window,yes,yes,yes,Driver and Passenger,yes,yes,yes,yes,yes,9 inch,yes,yes,yes,Front & Rear,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,4,,,no,,15 Inch,15 Inch,Adjustable,2,,,,,,,
Maruti Swift VXi CNG,"Rs.8,19,500",Z12E,1197 cc,68.80bhp@5700rpm,101.8Nm@2900rpm,3,4,no,Manual,5-Speed,FWD,CNG,,,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,,5,163 mm,2450 mm,990 kg,1425 kg,5,yes,yes,yes,Height only,no,no,yes,no,yes,yes,yes,no,no,Rear,no,Bench Folding,yes,no,yes,Front,yes,yes,no,no,"Wireless Android Auto & Apple CarPlay,Onboard Voice Assistant (Wake-up through """"Hi Suzuki"""" with Barge-in Feature)",Front & Rear,Front Only,yes,no,yes,yes,Fabric,yes,no,no,yes,yes,no,,yes,no,yes,no,Micropole,no,Electronic,Powered,165/80 R14,Radial Tubeless,14 Inch,no,no,yes,no,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,Driver's Window,yes,yes,yes,Driver and Passenger,yes,yes,no,yes,yes,7 inch,yes,yes,yes,Front & Rear,no,no,yes,no,no,no,no,no,no,no,4,,,,,,,,,,32.85 km/kg,55 Litres,Petrol,24.8,37.0,265 Litres
Maruti Swift VXi Opt CNG,"Rs.8,46,500",Z12E,1197 cc,68.80bhp@5700rpm,101.8Nm@2900rpm,3,4,no,Manual,5-Speed,FWD,CNG,,,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,,5,163 mm,2450 mm,990 kg,1425 kg,5,yes,yes,yes,Height only,no,no,yes,no,yes,yes,yes,no,no,Rear,yes,Bench Folding,yes,yes,yes,Front,yes,yes,no,no,"""Wireless Android Auto & Apple CarPlay,Onboard Voice Assistant (Wake-up through """"Hi Suzuki"""" with Barge-in Feature) """,Front & Rear,Front Only,yes,no,yes,yes,Fabric,yes,no,no,yes,yes,no,,yes,no,yes,no,Micropole,no,Electronic,Powered,165/80 R14,Radial Tubeless,14 Inch,no,no,yes,no,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,Driver's Window,yes,yes,yes,Driver and Passenger,yes,yes,no,yes,yes,7 inch,yes,yes,yes,Front & Rear,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,4,4 Star,,no,,,,,,,32.85 km/kg,55 Litres,Petrol,24.8,37.0,265 Litres
Maruti Swift ZXi CNG,"Rs.9,19,500",Z12E,1197 cc,68.80bhp@5700rpm,101.8Nm@2900rpm,3,4,no,Manual,5-Speed,FWD,CNG,,,BS VI 2.0,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,4.8 m,Ventilated Disc,Drum,3860 mm,1735 mm,1520 mm,,5,163 mm,2450 mm,990 kg,1425 kg,5,yes,yes,yes,Height only,yes,yes,yes,yes,yes,yes,yes,yes,no,Rear,yes,60:40 Split,yes,yes,yes,Front & Rear,yes,,yes,yes,"""Wireless Android Auto & Apple CarPlay,Onboard Voice Assistant (Wake-up through """"Hi Suzuki"""" with Barge-in Feature)",Front & Rear,Front Only,yes,no,yes,yes,Fabric,yes,yes,yes,yes,no,yes,,yes,yes,no,no,Micropole,no,Electronic,Powered,185/65 R15,Radial Tubeless,,yes,yes,yes,no,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,Driver's Window,yes,yes,yes,Driver and Passenger,yes,yes,yes,yes,yes,7 inch,yes,yes,yes,Front & Rear,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,4,,,no,,15 Inch,15 Inch,Adjustable,2,,32.85 km/kg,55 Litres,Petrol,24.8,37.0,265 Litres
